ACCESSION,Phenotype,TREATMENT,SEM_RN_mean,N1_RN_mean,N2_RN_mean,N3_RN_mean,N4_RN_mean,N5_RN_mean,N6_RN_mean,SEM_Angle_mean,N1_Angle_mean,N2_Angle_mean,N3_Angle_mean,N4_Angle_mean,N5_Angle_mean,N6_Angle_mean,Aper,Nitrogen_treatment,Tag,density,respiration,Optimal_N,Min_N,Optimal_P,Min_P,Pho_treatment,Diameter_scaling
10_170,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.049642232,1098.12339,667.2033268,60,30,6,0.853530887
10_195,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.046300315,1088.423745,660.4402702,60,30,6,0.872780996
10_220,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.042958398,1078.7241,653.6772137,60,30,6,0.892031104
10_245,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.039616482,1069.024455,646.9141571,60,30,6,0.911281213
10_270,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.036274565,1059.324811,640.1511005,60,30,6,0.930531322
10_295,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.032932648,1049.625166,633.388044,60,30,6,0.949781431
10_320,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.029590732,1039.925521,626.6249874,60,30,6,0.96903154
10_345,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.026248815,1030.225876,619.8619308,60,30,6,0.988281648
10_370,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.022906898,1020.526231,613.0988742,60,30,6,1.007531757
10_395,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.019564982,1010.826587,606.3358177,60,30,6,1.026781866
10_420,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.016223065,1001.126942,599.5727611,60,30,6,1.046031975
10_445,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.012881148,991.4272969,592.8097045,60,30,6,1.065282083
11_170,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.052163792,1112.70009,692.3099266,60,30,6,0.931208355
11_195,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.048821875,1103.000445,685.5468701,60,30,6,0.950458464
11_220,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.045479958,1093.3008,678.7838135,60,30,6,0.969708573
11_245,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.042138042,1083.601155,672.0207569,60,30,6,0.988958681
11_270,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.038796125,1073.90151,665.2577003,60,30,6,1.00820879
11_295,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.035454208,1064.201866,658.4946438,60,30,6,1.027458899
11_320,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.032112292,1054.502221,651.7315872,60,30,6,1.046709008
11_345,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.028770375,1044.802576,644.9685306,60,30,6,1.065959117
11_370,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.025428458,1035.102931,638.205474,60,30,6,1.085209225
11_395,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.022086542,1025.403286,631.4424175,60,30,6,1.104459334
11_420,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.018744625,1015.703641,624.6793609,60,30,6,1.123709443
11_445,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.015402708,1006.003997,617.9163043,60,30,6,1.142959552
12_170,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.054685352,1127.276789,717.4165264,60,30,6,1.008885823
12_195,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.051343435,1117.577145,710.6534699,60,30,6,1.028135932
12_220,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.048001518,1107.8775,703.8904133,60,30,6,1.047386041
12_245,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.044659602,1098.177855,697.1273567,60,30,6,1.06663615
12_270,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.041317685,1088.47821,690.3643002,60,30,6,1.085886259
