ACCESSION,Phenotype,TREATMENT,SEM_RN_mean,N1_RN_mean,N2_RN_mean,N3_RN_mean,N4_RN_mean,N5_RN_mean,N6_RN_mean,SEM_Angle_mean,N1_Angle_mean,N2_Angle_mean,N3_Angle_mean,N4_Angle_mean,N5_Angle_mean,N6_Angle_mean,Aper,Nitrogen_treatment,Tag,density,respiration,Optimal_N,Min_N,Optimal_P,Min_P,Pho_treatment,Diameter_scaling
10_170,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.049642232,1098.12339,667.2033268,60,30,6,0.853530887
10_220,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.042958398,1078.7241,653.6772137,60,30,6,0.892031104
10_270,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.036274565,1059.324811,640.1511005,60,30,6,0.930531322
10_320,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.029590732,1039.925521,626.6249874,60,30,6,0.96903154
10_370,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.022906898,1020.526231,613.0988742,60,30,6,1.007531757
10_420,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.016223065,1001.126942,599.5727611,60,30,6,1.046031975
12_170,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.054685352,1127.276789,717.4165264,60,30,6,1.008885823
12_220,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.048001518,1107.8775,703.8904133,60,30,6,1.047386041
12_270,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.041317685,1088.47821,690.3643002,60,30,6,1.085886259
12_320,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.034633852,1069.07892,676.838187,60,30,6,1.124386476
12_370,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.027950018,1049.679631,663.3120739,60,30,6,1.162886694
12_420,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.021266185,1030.280341,649.7859607,60,30,6,1.201386911
14_170,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.059728472,1156.430189,767.6297261,60,30,6,1.16424076
14_220,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.053044638,1137.030899,754.1036129,60,30,6,1.202740978
14_270,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.046360805,1117.63161,740.5774998,60,30,6,1.241241195
14_320,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.039676972,1098.23232,727.0513866,60,30,6,1.279741413
14_370,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.032993138,1078.83303,713.5252735,60,30,6,1.31824163
14_420,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.026309305,1059.433741,699.9991604,60,30,6,1.356741848
16_170,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.064771592,1185.583588,817.8429257,60,30,6,1.319595697
16_220,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.058087758,1166.184299,804.3168126,60,30,6,1.358095914
16_270,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.051403925,1146.785009,790.7906994,60,30,6,1.396596132
16_320,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.044720092,1127.385719,777.2645863,60,30,6,1.435096349
16_370,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.038036258,1107.98643,763.7384731,60,30,6,1.473596567
16_420,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.031352425,1088.58714,750.21236,60,30,6,1.512096784
6_170,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.039555992,1039.816591,566.7769276,60,30,6,0.542821014
6_220,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.032872158,1020.417301,553.2508144,60,30,6,0.581321231
6_270,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.026188325,1001.018012,539.7247013,60,30,6,0.619821449
6_320,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.019504492,981.6187221,526.1985881,60,30,6,0.658321666
6_370,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.012820658,962.2194324,512.672475,60,30,6,0.696821884
6_420,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.006136825,942.8201428,499.1463618,60,30,6,0.735322102
8_170,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.044599112,1068.96999,616.9901272,60,30,6,0.69817595
8_220,NA,5,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.05,0.445,P1,0.094,0.037915278,1049.570701,603.464014,60,30,6,0.736676168
